iata; name; city; state; country; latitude; longitude; x; y; priority
AFK; Nebraska City Municipal; Nebraska City; NE; USA; 40.606888; -95.86569; 0.5578684; 0.5724914; 2
AFM; Ambler; Ambler; AK; USA; 67.1061; -157.85362; 0.17716338; 0.20765293; 2
AFN; Jaffrey Municipal Silver Ranch; Jaffrey; NH; USA; 42.805134; -72.00302; 0.91568315; 0.7270886; 2
AFO; Afton Municipal; Afton; WY; USA; 42.711246; -110.94216; 0.32988492; 0.67676824; 2
AFW; Fort Worth Alliance; Fort Worth; TX; USA; 32.98764; -97.3188; 0.53292084; 0.3034165; 2
AGC; Allegheny Cty; Pittsburgh; PA; USA; 40.3544; -79.93017; 0.806846; 0.59943247; 2
AGN; Angoon SPB; Angoon; AK; USA; 57.503555; -134.5851; 0.2627198; 0.107666194; 2
AGO; Magnolia Municipal; Magnolia; AR; USA; 33.22802; -93.21697; 0.60382724; 0.3128124; 2
AGS; Bush; Augusta; GA; USA; 33.369953; -81.96449; 0.7968623; 0.34669703; 2
AGZ; Wagner Municipal; Wagner; SD; USA; 43.063328; -98.29619; 0.5210934; 0.6598872; 2
AHH; Amery Municipal; Amery; WI; USA; 45.281147; -92.37539; 0.6087304; 0.7388388; 2
AHN; Athens Municipal; Athens; GA; USA; 33.948597; -83.32635; 0.772005; 0.36139214; 2
AHP; Port Alexander SPB; Port Alexander; AK; USA; 56.24684; -134.64815; 0.2651162; 0.092754364; 2
AHQ; Wahoo Municipal; Wahoo; NE; USA; 41.241333; -96.594025; 0.54655814; 0.59495306; 2
AIA; Alliance Municipal; Alliance; NE; USA; 42.05325; -102.80372; 0.45159343; 0.6298561; 2
AID; Anderson Municipal; Anderson; IN; USA; 40.10862; -85.61299; 0.71906984; 0.56993365; 2
AIG; Langlade County; Antigo; WI; USA; 45.154194; -89.110725; 0.6565614; 0.7388456; 2
AIK; Aiken Municipal; Aiken; SC; USA; 33.649555; -81.68447; 0.80075824; 0.35765958; 2
AIO; Atlantic Municipal; Atlantic; IA; USA; 41.40727; -95.046906; 0.5705084; 0.60088944; 2
AIT; Aitkin Municipal; Aitkin; MN; USA; 46.548424; -93.6768; 0.58907604; 0.7821708; 2
AIV; George Downer; Aliceville; AL; USA; 33.107067; -88.19725; 0.6905875; 0.3166951; 2
AIY; Atlantic City Municipal; Atlantic City; NJ; USA; 39.360027; -74.456085; 0.8957821; 0.59364617; 2
AIZ; Lee C Fine Memorial; Kaiser/Lake Ozark; MO; USA; 38.096035; -92.549484; 0.6116447; 0.48539603; 2
AJC; Chignik (Anchorage Bay); Chignik; AK; USA; 56.311462; -158.37323; 0.17051187; 0.07547897; 2
AJG; Mt Carmel Municipal; Mt Carmel; IL; USA; 38.60655; -87.72669; 0.6886733; 0.51150584; 2
AJO; Corona Municipal; Corona; CA; USA; 33.897655; -117.60244; 0.18902688; 0.40581805; 2
AJR; Habersham County; Cornelia; GA; USA; 34.50082; -83.55487; 0.7666182; 0.37985617; 2
AK5; Perryville; Perryville; AK; USA; 55.908062; -159.15858; 0.16712815; 0.07092273; 2
AKA; Atka; Atka; AK; USA; 52.22035; -174.20634; 0.09905759; 0.047407746; 2
AKH; Gastonia Municipal; Gastonia; NC; USA; 35.20266; -81.149864; 0.8047708; 0.4142092; 2
AKI; Akiak; Akiak; AK; USA; 60.90481; -161.22702; 0.16269997; 0.13334018; 2
AKK; Akhiok; Akhiok; AK; USA; 56.93869; -154.18256; 0.18739457; 0.08220929; 2
AKN; King Salmon; King Salmon; AK; USA; 58.6768; -156.64922; 0.17813545; 0.10391861; 2
AKO; Akron-Washington Co; Akron; CO; USA; 40.175632; -103.22203; 0.44221395; 0.5645213; 2
AKP; Anaktuvuk Pass; Anaktuvuk Pass; AK; USA; 68.13432; -151.74168; 0.19428658; 0.21981913; 2
AKR; Akron Fulton Intl.; Akron; OH; USA; 41.0375; -81.46694; 0.7808515; 0.6167713; 2
AKW; Klawock; Klawock; AK; USA; 55.579235; -133.076; 0.27267805; 0.08815551; 2
AL08; Vaiden; Marion; AL; USA; 32.512356; -87.38555; 0.7057014; 0.29785967; 2
ALB; Albany Cty; Albany; NY; USA; 42.74812; -73.80298; 0.8894757; 0.71406543; 2
ALI; Alice International; Alice; TX; USA; 27.740889; -98.02695; 0.51832575; 0.11970276; 2
ALM; Alamogordo-White Sands Regional; Alamogordo; NM; USA; 32.839943; -105.990585; 0.38268262; 0.31329203; 2
ALN; St. Louis Regional; Alton/St. Louis; IL; USA; 38.89029; -90.04604; 0.6510998; 0.5168219; 2
ALO; Waterloo Municipal; Waterloo; IA; USA; 42.557083; -92.400345; 0.61051774; 0.6430869; 2
ALS; San Luis Valley Regional/Bergman; Alamosa; CO; USA; 37.434917; -105.866554; 0.39480338; 0.47439194; 2
ALW; Walla Walla Regional; Walla Walla; WA; USA; 46.094563; -118.28804; 0.2369181; 0.8289351; 2
ALX; Thomas C Russell; Alexander City; AL; USA; 32.914753; -85.96296; 0.7294893; 0.3160575; 2
AMA; Amarillo International; Amarillo; TX; USA; 35.21937; -101.705925; 0.4597802; 0.38679844; 2
AMG; Bacon County; Alma; GA; USA; 31.536055; -82.50655; 0.7930378; 0.28046572; 2
AMN; Gratiot Community; Alma; MI; USA; 43.322144; -84.68795; 0.72555846; 0.6853504; 2
AMT; Alexander Salamon; West Union; OH; USA; 38.851486; -83.56628; 0.7545199; 0.53236115; 2
AMW; Ames Municipal; Ames; IA; USA; 41.99207; -93.6218; 0.59224015; 0.62217814; 2
ANB; Anniston Metropolitan; Anniston; AL; USA; 33.588165; -85.85811; 0.7297965; 0.33999872; 2
ANC; Ted Stevens Anchorage International; Anchorage; AK; USA; 61.17432; -149.99619; 0.20209962; 0.13503456; 1
AND; Anderson County; Anderson; SC; USA; 34.494946; -82.70903; 0.7808755; 0.3829208; 2
ANE; Anoka County; Minneapolis; MN; USA; 45.145; -93.21139; 0.5966019; 0.7333721; 2
ANI; Aniak; Aniak; AK; USA; 61.581596; -159.54305; 0.16901863; 0.14068103; 2
ANQ; Steuben County-Tri State; Angola; IN; USA; 41.639698; -85.083496; 0.7236812; 0.6252457; 2
ANV; Anvik; Anvik; AK; USA; 62.648582; -160.1899; 0.16752078; 0.15408385; 2
ANW; Ainsworth Municipal; Ainsworth; NE; USA; 42.579224; -99.99297; 0.4950577; 0.6442696; 2
ANY; Anthony Municipal; Anthony; KS; USA; 37.158524; -98.07964; 0.5216546; 0.45114517; 2
AOC; Arco-Butte County; Arco; ID; USA; 43.60343; -113.3341; 0.2974805; 0.7180152; 2
AOH; Allen County; Lima; OH; USA; 40.706944; -84.026665; 0.7423102; 0.59585917; 2
AOO; Altoona-Blair Cty; Altoona; PA; USA; 40.29637; -78.32002; 0.8319509; 0.60494256; 2
APA; Centennial; Denver; CO; USA; 39.57013; -104.8493; 0.4155144; 0.54684883; 2
APC; Napa County; Napa; CA; USA; 38.213196; -122.28069; 0.13616212; 0.5862563; 2
APF; Naples Municipal; Naples; FL; USA; 26.152472; -81.775444; 0.82245445; 0.09743667; 2
APN; Alpena County Regional; Alpena; MI; USA; 45.078068; -83.56029; 0.737614; 0.7501048; 2
APT; Marion County-Brown; Jasper; TN; USA; 35.060677; -85.58532; 0.7310857; 0.39254034; 2
APV; Apple Valley; Apple Valley; CA; USA; 34.57529; -117.18618; 0.19911292; 0.4264722; 2
AQC; Klawock SPB; Klawock; AK; USA; 55.554657; -133.1017; 0.27263302; 0.087813616; 2
AQH; Kwinhagak; Quinhagak; AK; USA; 59.757008; -161.87949; 0.15942352; 0.11975026; 2
AQT; Nuiqsut; Nuiqsut; AK; USA; 70.20995; -151.00555; 0.19562446; 0.24505395; 2
AQW; Harriman And West; North Adams; MA; USA; 42.695915; -73.17038; 0.8990648; 0.7160747; 2
AQY; Girdwood; Girdwood; AK; USA; 60.966095; -149.1258; 0.20524575; 0.1328209; 2
ARA; Acadiana Regional; New Iberia; LA; USA; 30.037758; -91.883896; 0.6297183; 0.20208973; 2
ARB; Ann Arbor Municipal; Ann Arbor; MI; USA; 42.222984; -83.745605; 0.7425822; 0.6498867; 2
ARC; Arctic Village; Arctic Village; AK; USA; 68.11608; -145.57611; 0.2110887; 0.22187972; 2
ARG; Walnut Ridge Regional; Walnut Ridge; AR; USA; 36.125347; -90.92462; 0.640144; 0.4177689; 2
ARR; Aurora Municipal; Chicago/Aurora; IL; USA; 41.77193; -88.47566; 0.67141885; 0.6213609; 2
ART; Watertown Intl; Watertown; NY; USA; 43.99192; -76.021736; 0.85121936; 0.744407; 2
ARV; Lakeland; Minocqua-Woodruff; WI; USA; 45.927925; -89.73094; 0.6464412; 0.76483375; 2
ASD; Slidell; Slidell; LA; USA; 30.345055; -89.820786; 0.6663255; 0.21623331; 2
ASE; Aspen-Pitkin Co/Sardy; Aspen; CO; USA; 39.22316; -106.86884; 0.38280234; 0.5402519; 2
ASG; Springdale Municipal; Springdale; AR; USA; 36.17641; -94.119255; 0.58702576; 0.41629738; 2
ASH; Boire; Nashua; NH; USA; 42.78176; -71.51478; 0.9229694; 0.7294399; 2
ASJ; Tri-County; Ahoskie; NC; USA; 36.297527; -77.17085; 0.8661891; 0.47206563; 2
ASL; Marshall - Harrison County; Marshall; TX; USA; 32.5205; -94.30778; 0.5852562; 0.28712684; 2
ASN; Talladega Municipal; Talladega; AL; USA; 33.569912; -86.05086; 0.7265412; 0.33876884; 2
AST; Astoria Regional; Astoria; OR; USA; 46.15797; -123.87869; 0.15938756; 0.86654866; 2
ASW; Warsaw Municipal; Warsaw; IN; USA; 41.2747; -85.84006; 0.71290576; 0.61025524; 2
ASX; John F Kennedy Memorial; Ashland; WI; USA; 46.548527; -90.91897; 0.62858856; 0.7847703; 2
ATA; Hall-Miller Municipal; Atlanta; TX; USA; 33.101807; -94.19533; 0.5869848; 0.30767453; 2
ATK; Atqasuk; Atqasuk; AK; USA; 70.46728; -157.43573; 0.17960006; 0.2482369; 2
ATL; William B Hartsfield-Atlanta Intl; Atlanta; GA; USA; 33.640446; -84.42694; 0.75410765; 0.3465578; 1
ATS; Artesia Municipal; Artesia; NM; USA; 32.852528; -104.46769; 0.40901375; 0.3094138; 2
ATW; Outagamie County Regional; Appleton; WI; USA; 44.25741; -88.51948; 0.66666305; 0.70856035; 2
ATY; Watertown Municipal; Watertown; SD; USA; 44.913982; -97.15472; 0.53879815; 0.7244315; 2
AUG; Augusta State; Augusta; ME; USA; 44.32065; -69.79732; 0.9393463; 0.79312617; 2
AUH; Aurora Municipal; Aurora; NE; USA; 40.89414; -97.99455; 0.5246948; 0.58318913; 2
AUK; Alakanuk; Alakanuk; AK; USA; 62.680042; -164.65993; 0.15278447; 0.15764207; 2
AUM; Austin Municipal; Austin; MN; USA; 43.66499; -92.93339; 0.60166645; 0.68161386; 2
AUN; Auburn Municipal; Auburn; CA; USA; 38.95477; -121.08208; 0.15890183; 0.60286206; 2
AUO; Auburn-Opelik; Auburn; AL; USA; 32.616356; -85.43356; 0.7393075; 0.3072788; 2
AUS; Austin-Bergstrom International; Austin; TX; USA; 30.194532; -97.66987; 0.5258156; 0.20533359; 1
AUW; Wausau Municipal; Wausau; WI; USA; 44.92847; -89.62661; 0.6493402; 0.73005724; 2
AVC; Mecklenburg-Brunswick Regional; South Hill; VA; USA; 36.68828; -78.054474; 0.8502606; 0.48088866; 2
AVK; Alva Regional; Alva; OK; USA; 36.77317; -98.669945; 0.511747; 0.43792593; 2
AVL; Asheville Regional; Asheville; NC; USA; 35.436195; -82.54181; 0.7809045; 0.41651946; 2
AVO; Avon Park Municipal; Avon Park; FL; USA; 27.591145; -81.527855; 0.8225551; 0.14811367; 2
AVP; Wilkes-Barre/Scranton Intl; Wilkes-Barre/Scranton; PA; USA; 41.33815; -75.724266; 0.86730003; 0.6545555; 2
AVQ; Marana Northwest Regional; Marana; AZ; USA; 32.40939; -111.218506; 0.291316; 0.31853783; 2
AVX; Catalina; Avalon; CA; USA; 33.404945; -118.41586; 0.17305979; 0.3943016; 2
AWG; Washington Municipal; Washington; IA; USA; 41.2761; -91.67345; 0.62278706; 0.5987046; 2
AWI; Wainwright; Wainwright; AK; USA; 70.638; -159.99475; 0.17337938; 0.2510395; 2
AWM; West Memphis Municipal; West Memphis; AR; USA; 35.13506; -90.23444; 0.65286374; 0.3839261; 2
AWO; Arlington Municipal; Arlington; WA; USA; 48.160748; -122.15902; 0.19444951; 0.9219978; 2
AXA; Algona Municipal; Algona; IA; USA; 43.07791; -94.271996; 0.5818571; 0.6600946; 2
AXN; Chandler; Alexandria; MN; USA; 45.8663; -95.39467; 0.5645372; 0.757681; 2
AXS; Altus Municipal; Altus; OK; USA; 34.69878; -99.3381; 0.4992073; 0.36521888; 2
AXV; Neil Armstrong; Wapakoneta; OH; USA; 40.49339; -84.29894; 0.7386397; 0.58747816; 2
AXX; Angel Fire; Angel Fire; NM; USA; 36.42241; -105.2893; 0.40211654; 0.43714452; 2
AYS; Waycross-Ware County; Waycross; GA; USA; 31.249056; -82.3953; 0.79583484; 0.27094537; 2
AZC; Colorado City Municipal; Colorado City; AZ; USA; 36.959946; -113.013885; 0.27740967; 0.48560393; 2
AZE; Hazelhurst; Hazelhurst; GA; USA; 31.884657; -82.647385; 0.78955877; 0.29202217; 2
AZO; Kalamazoo County; Kalamazoo; MI; USA; 42.234875; -85.552055; 0.71513677; 0.6447571; 2
B01; Granville; Granville; NY; USA; 43.42507; -73.262054; 0.89410204; 0.7404735; 2
B08; Silver Springs; Silver Springs; NV; USA; 39.403248; -119.25183; 0.18953705; 0.6058302; 2
B16; Whitford; Weedsport; NY; USA; 43.080276; -76.538376; 0.84755796; 0.71031636; 2
B19; Biddeford Municipal; Biddeford; ME; USA; 43.46411; -70.47239; 0.9344486; 0.75954425; 2
B21; Sugarloaf Regional; Carrabasset; ME; USA; 45.086166; -70.21618; 0.9290949; 0.81619227; 2
BAF; Barnes Municipal; Westfield; MA; USA; 42.15773; -72.71562; 0.9084979; 0.7004582; 2
BAK; Columbus Municipal; Columbus; IN; USA; 39.261917; -85.89635; 0.7165168; 0.53935; 2
BAM; Battle Mountain; Battle Mountain; NV; USA; 40.599045; -116.87434; 0.2318089; 0.63242626; 2
BAX; Huron County Memorial; Bad Axe; MI; USA; 43.78092; -82.985664; 0.74965245; 0.7068571; 2
BAZ; New Braunfels Municipal; New Braunfels; TX; USA; 29.7045; -98.04222; 0.5189188; 0.1883713; 2
BBB; Benson Municipal; Benson; MN; USA; 45.331932; -95.650566; 0.56087077; 0.7389322; 2
BBD; Curtis; Brady; TX; USA; 31.178167; -99.32464; 0.49686062; 0.24117565; 2
BBP; Marlboro County; Bennettsville; SC; USA; 34.621708; -79.73436; 0.83035755; 0.4005285; 2
BBW; Broken Bow Municipal; Broken Bow; NE; USA; 41.43645; -99.642166; 0.49947223; 0.603614; 2
BCB; Virginia Tech; Blacksburg; VA; USA; 37.207825; -80.408325; 0.81022614; 0.48752445; 2
BCE; Bryce Canyon; Bryce Canyon; UT; USA; 37.70637; -112.14547; 0.29412517; 0.5074528; 2
BCK; Black River Falls Area; Black River Falls; WI; USA; 44.25074; -90.85528; 0.6320847; 0.7044481; 2
BCT; Boca Raton; Boca Raton; FL; USA; 26.378487; -80.1077; 0.85267013; 0.113527715; 2
BCV; Birchwood; Birchwood; AK; USA; 61.416126; -149.50888; 0.20367965; 0.13818747; 2
BDE; Baudette International; Baudette; MN; USA; 48.727417; -94.610306; 0.57503575; 0.8575349; 2
BDG; Blanding Muni; Blanding; UT; USA; 37.583035; -109.48329; 0.33658192; 0.49178863; 2
BDL; Bradley International; Windsor Locks; CT; USA; 41.938873; -72.68323; 0.91009134; 0.6931699; 2
BDQ; Morrilton Municipal; Morrilton; AR; USA; 35.136196; -92.7135; 0.61113673; 0.38061404; 2
BDR; Igor I Sikorsky Memorial; Bridgeport; CT; USA; 41.163483; -73.126175; 0.9073627; 0.6638242; 2
BDX; Broadus; Broadus; MT; USA; 45.433327; -105.41721; 0.41866738; 0.7539295; 2
BED; Laurence G Hanscom; Bedford; MA; USA; 42.46995; -71.28903; 0.92795503; 0.7202935; 2
BEH; Southwest Michigan Regional; Benton Harbor; MI; USA; 42.128582; -86.4285; 0.7020387; 0.6386523; 2
BET; Bethel; Bethel; AK; USA; 60.779778; -161.838; 0.16045326; 0.13222253; 2
BFD; Bradford Reg; Bradford; PA; USA; 41.803066; -78.64012; 0.82127196; 0.65572846; 2
BFF; Scotts Bluff County; Scottsbluff; NE; USA; 41.874027; -103.59564; 0.43919307; 0.6250999; 2
BFI; Boeing Field/King County Intl; Seattle; WA; USA; 47.529987; -122.301956; 0.18897146; 0.90182024; 2
BFK; Buffalo Municipal; Buffalo; OK; USA; 36.8633; -99.61873; 0.49618256; 0.44198447; 2
BFL; Meadows; Bakersfield; CA; USA; 35.433598; -119.05677; 0.17253917; 0.4682603; 2
BFM; Mobile Downtown; Mobile; AL; USA; 30.626469; -88.068; 0.6971329; 0.23000312; 2
BFR; Virgil I Grissom Municipal; Bedford; IN; USA; 38.840034; -86.445366; 0.70870066; 0.52297825; 2
BFW; Silver Bay Municipal; Silver Bay; MN; USA; 47.249027; -91.41558; 0.6207779; 0.80857027; 2
BGD; Hutchinson County; Borger; TX; USA; 35.700043; -101.39405; 0.46559256; 0.40324616; 2
BGE; Decatur County Industrial Airpark; Bainbridge; GA; USA; 30.971527; -84.63744; 0.7571678; 0.25249434; 2
BGF; Winchester Municipal; Winchester; TN; USA; 35.177536; -86.06617; 0.7227658; 0.39518666; 2
BGM; Binghamton Regional; Binghamton; NY; USA; 42.208485; -75.979614; 0.859625; 0.68319476; 2
BGQ; Big Lake Strip Nr 2; Big Lake; AK; USA; 61.53557; -149.8139; 0.20256926; 0.13953817; 2
BGR; Bangor International; Bangor; ME; USA; 44.807446; -68.82814; 0.9502925; 0.81624144; 2
BHB; Hancock Co-Bar Harbor; Bar Harbor; ME; USA; 44.449696; -68.3615; 0.9590142; 0.80749893; 2
BHC; Baxley Municipal; Baxley; GA; USA; 31.713833; -82.393776; 0.794478; 0.28713322; 2
BHK; Baker Muni; Baker City; MT; USA; 46.347637; -104.259445; 0.43712467; 0.78316504; 2
BHM; Birmingham International; Birmingham; AL; USA; 33.562943; -86.75355; 0.71453345; 0.33647054; 2
BID; Block Island State; Block Island; RI; USA; 41.168118; -71.57784; 0.93062866; 0.67395836; 2
BIE; Beatrice Municipal; Beatrice; NE; USA; 40.301277; -96.75411; 0.54392004; 0.5617659; 2
BIG; Allen AAF; Delta Junction; AK; USA; 63.99455; -145.72165; 0.21441185; 0.17177498; 2
BIH; Bishop; Bishop; CA; USA; 37.373096; -118.36361; 0.19332978; 0.53032357; 2
BIL; Billings Logan Intl; Billings; MT; USA; 45.807663; -108.54286; 0.37441748; 0.7757834; 2
BIS; Bismarck Municipal; Bismarck; ND; USA; 46.774113; -100.74672; 0.48796675; 0.79221916; 2
BIV; Tulip City; Holland; MI; USA; 42.743168; -86.10503; 0.70562834; 0.66106164; 2
BJC; Jeffco; Denver; CO; USA; 39.908787; -105.11722; 0.41196138; 0.55944645; 2
BJI; Bemidji-Beltrami County; Bemidji; MN; USA; 47.509422; -94.93372; 0.57083327; 0.81513846; 2
BJJ; Wayne County; Wooster; OH; USA; 40.874805; -81.88825; 0.7748795; 0.60942864; 2
BKD; Breckenridge Stephens County; Breckenridge; TX; USA; 32.719048; -98.891; 0.50552; 0.29496944; 2
BKE; Baker City Municipal; Baker City; OR; USA; 44.837334; -117.80908; 0.23770404; 0.7833569; 2
BKL; Burke Lakefront; Cleveland; OH; USA; 41.5175; -81.683334; 0.77601653; 0.6326746; 2
BKV; Hernando County; Brooksville; FL; USA; 28.473597; -82.45542; 0.80297995; 0.17436248; 2
BKW; Raleigh Cty Memorial; Beckley; WV; USA; 37.787327; -81.12416; 0.7967456; 0.5046197; 2
BKX; Brookings Municipal; Brookings; SD; USA; 44.304832; -96.81695; 0.5436527; 0.70295405; 2
BLF; Mercer Cty; Bluefield; WV; USA; 37.2958; -81.20769; 0.79700255; 0.48708326; 2
BLH; Blythe; Blythe; CA; USA; 33.619164; -114.71687; 0.2361889; 0.37864387; 2
BLI; Bellingham Intl; Bellingham; WA; USA; 48.79275; -122.53753; 0.1929403; 0.94550997; 2
BLM; Allaire Arpt; Belmar/Farmingdale; NJ; USA; 40.186916; -74.124886; 0.89696014; 0.6241286; 2
BLV; Scott AFB/MidAmerica; Belleville/St. Louis; IL; USA; 38.545177; -89.83518; 0.6549408; 0.50500095; 2
BMC; Brigham City; Brigham City; UT; USA; 41.55239; -112.06226; 0.3090289; 0.64112043; 2
BMG; Monroe County; Bloomington; IN; USA; 39.146023; -86.616684; 0.70533454; 0.53328943; 2
BMI; Central Illinois Regional; Bloomington; IL; USA; 40.477985; -88.915955; 0.6666834; 0.57490444; 2
BML; Berlin Municipal; Berlin; NH; USA; 44.575375; -71.175934; 0.91826844; 0.7926326; 2
BMQ; Burnet Muni-Kate Craddock; Burnet; TX; USA; 30.738945; -98.23859; 0.51588356; 0.2247954; 2
BMT; Beaumont Municipal; Beaumont; TX; USA; 30.07044; -94.21554; 0.58782285; 0.2010436; 2
BNA; Nashville International; Nashville; TN; USA; 36.124477; -86.678185; 0.71056664; 0.4267469; 1
BNF; Baranof Warm Springs SPB; Baranof Warm Springs; AK; USA; 57.088825; -134.83315; 0.26265424; 0.10231173; 2
BNG; Banning Municipal; Banning; CA; USA; 33.923073; -116.85058; 0.20169775; 0.40188664; 2
BNL; Barnwell County; Barnwell; SC; USA; 33.25778; -81.388336; 0.80704224; 0.3453009; 2
BNO; Burns Muni; Burns; OR; USA; 43.59213; -118.95498; 0.21510054; 0.74749184; 2
BNW; Boone Municipal; Boone; IA; USA; 42.04957; -93.84757; 0.5887511; 0.6240674; 2
BOI; Boise Air Terminal; Boise; ID; USA; 43.564445; -116.22278; 0.25486994; 0.73099595; 1
BOK; Brookings; Brookings; OR; USA; 42.074554; -124.29009; 0.12874249; 0.7322537; 2
BOS; Gen Edw L Logan Intl; Boston; MA; USA; 42.36435; -71.00518; 0.9327062; 0.71858156; 1
BOW; Bartow Municipal; Bartow; FL; USA; 27.943357; -81.78344; 0.8167926; 0.15906674; 2
BPI; Big Piney-Marbleton; Big Piney; WY; USA; 42.58507; -110.11115; 0.3419619; 0.6691314; 2
BPK; Baxter County Regional; Mountain Home; AR; USA; 36.368942; -92.47053; 0.6142684; 0.4244166; 2
BPT; Southeast Texas Regional; Beaumont/Port Arthur; TX; USA; 29.950834; -94.02069; 0.5913743; 0.19696599; 2
BQK; Glynco Jetport; Brunswick; GA; USA; 31.259027; -81.46631; 0.81207234; 0.27538168; 2
BRD; Brainerd-Crow Wing County Regional; Brainerd; MN; USA; 46.397858; -94.13723; 0.5825368; 0.7766665; 2
BRL; Burlington Municipal; Burlington; IA; USA; 40.783226; -91.1255; 0.63179725; 0.5820079; 2
BRO; Brownsville/S.Padre Island International; Brownsville; TX; USA; 25.906834; -97.42586; 0.52886; 0.05554217; 2
BRW; Wiley Post Will Rogers Memorial; Barrow; AK; USA; 71.285446; -156.766; 0.18150169; 0.25791186; 2
BRY; Samuels; Bardstown; KY; USA; 37.814323; -85.49964; 0.7261527; 0.48960125; 2
BST; Belfast Municipal; Belfast; ME; USA; 44.409668; -69.01225; 0.9500132; 0.8015479; 2
BTI; Barter Island; Kaktovik; AK; USA; 70.1339; -143.57704; 0.21423423; 0.24731451; 2
BTL; W K Kellogg Regional; Battle Creek; MI; USA; 42.307278; -85.25148; 0.7195314; 0.6481565; 2
BTM; Bert Mooney; Butte; MT; USA; 45.954796; -112.49746; 0.31827348; 0.7955656; 2
BTN; Britton Municipal; Britton; SD; USA; 45.815224; -97.74314; 0.5304954; 0.7562368; 2
BTP; Butler Cty; Butler; PA; USA; 40.776928; -79.94972; 0.80505455; 0.61406624; 2
BTR; Baton Rouge Metropolitan, Ryan; Baton Rouge; LA; USA; 30.533161; -91.149635; 0.6423735; 0.22050256; 2
BTT; Bettles; Bettles; AK; USA; 66.91528; -151.52806; 0.19519779; 0.20501024; 2
BTV; Burlington International; Burlington; VT; USA; 44.473003; -73.150314; 0.89052725; 0.77694; 2
BTY; Beatty; Beatty; NV; USA; 36.861057; -116.787; 0.21612507; 0.502856; 2
BUB; Cram; Burwell; NE; USA; 41.776695; -99.14975; 0.50731635; 0.61516124; 2
BUF; Buffalo Niagara Intl; Buffalo; NY; USA; 42.940525; -78.73217; 0.81558007; 0.6947517; 2
BUM; Butler Memorial; Butler; MO; USA; 38.289772; -94.340126; 0.5825808; 0.49093527; 2
BUR; Burbank-Glendale-Pasadena; Burbank; CA; USA; 34.20062; -118.3585; 0.17790383; 0.42122203; 1
BUY; Burlington Municipal; Burlington; NC; USA; 36.048542; -79.474884; 0.8295186; 0.4514743; 2
BVI; Beaver County; Beaver Falls; PA; USA; 40.77248; -80.391426; 0.79827213; 0.6119849; 2
BVK; Buckland; Buckland; AK; USA; 65.982285; -161.15198; 0.16693988; 0.1953072; 2
BVN; Albion Municipal; Albion; NE; USA; 41.728577; -98.05576; 0.5241196; 0.6126863; 2
BVO; Bartlesville Municipal; Bartlesville; OK; USA; 36.762478; -96.011154; 0.55558354; 0.43650526; 2
BVS; Skagit Regional/Bay View; Burlington/Mount Vernon; WA; USA; 48.47089; -122.42086; 0.19267811; 0.9340339; 2
BVX; Batesville Regional; Batesville; AR; USA; 35.726105; -91.64736; 0.6285211; 0.40266162; 2
BVY; Beverly Municipal; Beverly; MA; USA; 42.58417; -70.91652; 0.9328126; 0.7266587; 2
BWC; Brawley Municipal; Brawley; CA; USA; 32.9931; -115.51693; 0.2200459; 0.36165535; 2
BWD; Brownwood Municipal; Brownwood; TX; USA; 31.793623; -98.9565; 0.50378066; 0.2624507; 2
BWG; Bowling Green-Warren County; Bowling Green; KY; USA; 36.964516; -86.41968; 0.71307135; 0.45702887; 2
BWI; Baltimore-Washington International; Baltimore; MD; USA; 39.1754; -76.6682; 0.8621631; 0.57458365; 1
BWP; Harry Stern; Wahpeton; ND; USA; 46.2464; -96.60568; 0.54704285; 0.77097726; 2
BXA; George R Carr Memorial; Bogalusa; LA; USA; 30.813686; -89.86497; 0.66490644; 0.23256934; 2
BXG; Burke County; Waynesboro; GA; USA; 33.04093; -82.00398; 0.797199; 0.33504987; 2
BXK; Buckeye Municipal; Buckeye; AZ; USA; 33.420887; -112.6863; 0.26975584; 0.3608628; 2
BYA; Boundary; Boundary; AK; USA; 64.0783; -141.11337; 0.22878051; 0.17670894; 2
BYG; Johnson County; Buffalo; WY; USA; 44.381084; -106.72179; 0.39728478; 0.72063124; 2
BYI; Burley Municipal; Burley; ID; USA; 42.542603; -113.771545; 0.28691655; 0.6833248; 2
BZN; Gallatin; Bozeman; MT; USA; 45.7769; -111.15301; 0.33686993; 0.7839833; 2
C00; Mercer County; Aledo; IL; USA; 41.248646; -90.73708; 0.63730985; 0.5989697; 2
C05; Chenega Bay; Chenega; AK; USA; 60.077305; -147.99188; 0.20980683; 0.12247509; 2
C09; Morris Municipal; Morris; IL; USA; 41.425415; -88.41869; 0.6728709; 0.6092833; 2
C15; Pekin Municipal; Pekin; IL; USA; 40.488205; -89.67591; 0.6547889; 0.5738499; 2
C17; Marion; Marion; IA; USA; 42.031113; -91.52934; 0.6242742; 0.6255032; 2
C18; Frankfort; Chicago/Frankfort; IL; USA; 41.4775; -87.84047; 0.6816876; 0.6123624; 2
C25; Waverly Municipal; Waverly; IA; USA; 42.74195; -92.507935; 0.60874003; 0.6494969; 2
C29; Morey; Middleton; WI; USA; 43.114243; -89.53073; 0.6533194; 0.6665737; 2
C34; Gibson City Municipal; Gibson City; IL; USA; 40.485783; -88.26727; 0.6768051; 0.57651365; 2
